,product_name,product_review,user_rating
0,Kentucky Brunch Brand Stout,2020 vintage acquired during the pandemic. It was everything I'd hoped it would be and worth the drive to track it down. Wonderful aroma and such a smooth taste. Very few live up to the hype but this one did.,5
1,Kentucky Brunch Brand Stout,"Long time waiting to tick this one, and I have to say - pretty underwhelmed. Its delicious as far as maple syrup goes, but overall it was lacking in complexity. Barrel was light and not much else. Nice mouth feel and long finish.",4.56
2,Kentucky Brunch Brand Stout,"This review is for the 2019 batch. It was bottle number 43, tasted as part of a dinner at Toppling Goliath. Poured as dinner was served, thick and almost black, allowed to warm and enjoyed as dessert. On the nose, bourbon and maple syrup. Thick mouth-feel, and full of flavor. I have had the 2020 version on tap, so comparing the two is difficult, however I think the 2019 aged nicely and was, in my opinion, the better of the two.",5
3,Kentucky Brunch Brand Stout,"Supreme maple OD! Soooo easy drinking & well-tasty. History in the making when finally scoring this one! (for the record, tried both 2019 and 2020 at the same time, the latter one being the best... I think)",5
4,Kentucky Brunch Brand Stout,"I have now had 4 different years of KBBS and continue to feel this beer is in a realm of its own. The look is as dark as burnt motor oil. The smell is filled with maple, coffee, bourbon, and stout. Outside of 2020 the taste is super sticky with a huge mouth feel.",5
5,Kentucky Brunch Brand Stout,2020 Bottle.,5
6,Kentucky Brunch Brand Stout,"Some burnt sugar and a bit of licorice. Nice dark fruits, too. Flavor has plenty of sugar and malt sweetness. Lots of caramel, toffee, and maple syrup. Nice bourbon and vanilla, too. Good dark fruit character, cocoa powder, and decent coffee. Good stuff.",4.45
7,Kentucky Brunch Brand Stout,"Bottle @ Presidential Suite. Thanks, Adam. Redemption from Bully Guppy. Black pour with a finger of tan foam. Tons of bourbon, maple syrup, and vanilla. Nice coffee, cocoa powder, and toffee. Some burnt sugar and a bit of licorice. Nice dark fruits, too. Flavor has plenty of sugar and malt sweetness. Lots of caramel, toffee, and maple syrup. Nice bourbon and vanilla, too. Good dark fruit character, cocoa powder, and decent coffee. Good stuff.",4.15
8,Kentucky Brunch Brand Stout,"The look is great, and then it's downhill after that.
This beer has so much coffee and sweet flavors that I cannot taste the stout....the beer aspect of it. It needs to be in another (new) category, because as a stout beer it really just isn't other than (maybe) it's color. Now, if those coffee, maple, bourbon, et al flavors came from the malt or wood, then bravo. But they didn't.",2.88
9,Kentucky Brunch Brand Stout,"This dark nectar poured like a heavenly scented motor oil into my glass. Its like someone took my morning coffee, maple syrup and best bourbon and combined them into this once in a lifetime treat. I could still smell the maple syrup days later from the EMPTY bottle sitting on my desk.",5
10,Kentucky Brunch Brand Stout,"Is this the best beer in the world, many would argue that is true. While trying on draft at Toppling Goliath, it’s hard to imagine the rich smooth sweet maple balanced by coffee could be all be pulled off the nose, staining the glass. And the flavor and taste to be met with fireworks from the grand finale.",5
11,Kentucky Brunch Brand Stout,"I had this for the first time in 2020. I was outside and it was cold and when this hit my lips, I drifted off to heaven. The hype is real with this one!!!",4.85
12,Kentucky Brunch Brand Stout,"Rich dark brown with a thin finger of creamy-looking mocha head. Settles relatively quickly into a nice, lasting cap and wisp. Almost no lacing.",4.51
13,Kentucky Brunch Brand Stout,Poured at cellar temp into a teku. Bottle 74,4.42
14,Kentucky Brunch Brand Stout,"2020 recent release Bottle courtesy of brewnic.
L: black with minimal dark brown head.
S: vanilla, chocolate, coffee, maple syrup.
T: coffee, vanilla, chocolate, pancakes, maple, wood, a little whiskey.
F: viscous.
Overall: unsurprisingly, very good.",4.83
15,Kentucky Brunch Brand Stout,"This review is for the 2020 KBBS from the TG Taproom in Decorah, Iowa. I had a four ounce pour.",5
16,Kentucky Brunch Brand Stout,2020 on draft at Toppling Goliath.,4.9
17,Kentucky Brunch Brand Stout,"2019 KBBS
Look: black syrup, no head, super thick
Smell: huge maple notes up front, subtle barrel and coffee in the middle, finishes with maple soaked coffee
Taste: big maple, bourbon and coffee flavors. Front is maple, then comes coffee and bourbon, finishes with a maple bourbon blast
Overall not as good as the nose
Feel: super thick yet well carbonated... well balanced and lingers for ages",4.9
18,Kentucky Brunch Brand Stout,2019 draft and bottle.,4.99
19,Kentucky Brunch Brand Stout,"Smell: early morning pancakes and coffee before work that wakes you up
Taste: liquifies buttery maple pancakes and hot coffee with some snake bite in it.
Feel: Like that Scene in there will be blood when the oil explodes everywhere. Tar.
Overall: Magnificent worth its weight in gold",5
20,Kentucky Brunch Brand Stout,"2019 vintage. Pours a very dark brown color with noticeable sugars coating the glass. Lots of coffee and maple in the nose, not much barrel or heat at all. Very rich and coating mouthfeel with a lot of layers in the flavor. Coffee, espresso, maple, vanilla are in good balance. Not much bourbon or oak if at all noticeable. Really great beer as it's very hard to pull off this many flavors and layers without a dominant flavor. Just missed it a little with not much bourbon or barrel presence aside from the vanilla notes.",4.63
21,Kentucky Brunch Brand Stout,"Reviewing 2019 vintage. This pours thick and close to black with unsurprisingly poor head retention (that being said, I drank this out of a taster glass). Does not stop the nose from jumping out of the glass. Huge coffee and maple, as advertised, masking any potential aroma from the barrel. That trend continues into the taste - difficult to find the barrel even when looking intently for it. The coffee is very pleasant and plays well with the maple, which presents authentically and not as a general sweetness. Thick, smooth mouthfeel (again, no surprises here). Overall, this would receiving a rating bump if it wasn't meant to be a barrel aged beer. In that respect, it falls short, as the adjuncts and texture are the real star of the show here. Very cool to try, but not worth the price of admission these days.",4.52
22,Kentucky Brunch Brand Stout,"2018 version. Poured dark with a small head. Smell was maple coffee with a hint of bourbon. Very smooth drinking and taste was wow - chocolate, coffee, maple, and a touch of sweetness. One of the best beers I've ever tried.",4.99
23,Kentucky Brunch Brand Stout,"A (very expensive) draft pour at TG on release day Dec. 7, 2019.",4.99
24,Kentucky Brunch Brand Stout,"2016 Silver Wax. Aroma has whiskey, maple, toffee and umami. Taste has wood barrel, umami, dark fruit, maple and toffee. Bitter cacao and coffee aftertaste.",4.8
25,Marshmallow Handjee,"Like slow dancing with Aretha Franklin, this one has soul. Hot damn, I feel like I can lasso a T. rex. Uhhh huh, I can hurdle that St. Louis arc…",4.57
26,Marshmallow Handjee,"dec. 14, 2019
That was an awesome taste explosion. Big smell, beautifull mouthfeel. Bit on the sweet side, but in good balance with the barrel. Smooth and bit alcoholic in the end.",4.78
